video_id,equipment_id,start_frame,end_frame,start_time,end_time,pred_action,confidence
134516,1,5919,6015,236.76,240.6,load_bucket,0.926128089427948
134516,1,6015,6079,240.6,243.16,idle,0.6327057182788849
134516,1,6079,6367,243.16,254.68,load_bucket,0.8082637058364021
134516,1,6367,6431,254.68,257.24,idle,0.6360245645046234
134516,1,6431,6687,257.24,267.48,load_bucket,0.8088439926505089
134516,1,6687,6719,267.48,268.76,idle,0.5221734642982483
134516,1,6719,6815,268.76,272.6,load_bucket,0.7866053382555643
134516,1,6815,6943,272.6,277.72,idle,0.7492682039737701
134516,1,6943,6975,277.72,279.0,swing_bucket,0.6332876682281494
134516,1,6975,7071,279.0,282.84,load_bucket,0.6487305363019308
134516,1,7071,7487,282.84,299.48,idle,0.7919870408681723
134516,1,7487,7647,299.48,305.88,load_bucket,0.7936072528362275
134516,1,7647,7967,305.88,318.68,dump,0.825325095653534
134516,1,7967,8191,318.68,327.64,idle,0.6889270884650094
134516,1,8191,8287,327.64,331.48,swing_bucket,0.6726035475730896
134516,1,8287,8383,331.48,335.32,dump,0.7641865213712057
134516,1,8383,8415,335.32,336.6,swing_bucket,0.7278675436973572
134516,1,8415,8447,336.6,337.88,idle,0.7191676497459412
134516,1,8447,8479,337.88,339.16,load_bucket,0.6553617119789124
134516,1,8479,8607,339.16,344.28,idle,0.7054959684610367
134516,1,8607,8671,344.28,346.84,swing_bucket,0.6890290379524231
134516,1,8671,8767,346.84,350.68,dump,0.7826621135075887
134516,1,8767,8799,350.68,351.96,swing_bucket,0.5517345070838928
134516,1,8799,8831,351.96,353.24,load_bucket,0.6552265286445618
134516,1,8831,8895,353.24,355.8,idle,0.7241472005844116
134516,1,8895,8959,355.8,358.36,load_bucket,0.6168266832828522
134516,1,8959,9279,358.36,371.16,idle,0.7223718225955963
134516,1,9279,9343,371.16,373.72,swing_bucket,0.7312703132629395
134516,1,9343,9471,373.72,378.84,dump,0.6404125690460205
134516,1,9471,9887,378.84,395.48,idle,0.7378436258206
134516,1,9887,9919,395.48,396.76,load_bucket,0.3565937876701355
134516,1,9919,9983,396.76,399.32,swing_bucket,0.8157747685909271
134516,1,9983,10079,399.32,403.16,dump,0.5039883454640707
134516,1,10079,10111,403.16,404.44,swing_bucket,0.5566731691360474
134516,1,10111,10143,404.44,405.72,idle,0.9488139152526855
134516,1,10143,10239,405.72,409.56,load_bucket,0.5985667804876963
134516,1,10239,10335,409.56,413.4,idle,0.6912639538447062
134516,1,10335,10367,413.4,414.68,load_bucket,0.5368492603302002
134516,1,10367,10431,414.68,417.24,swing_bucket,0.719719260931015
134516,1,10431,10559,417.24,422.36,dump,0.7759979963302612
134516,1,10559,10591,422.36,423.64,swing_bucket,0.8404281139373779
134516,1,10591,10815,423.64,432.6,load_bucket,0.7518458196095058
134516,1,10815,10879,432.6,435.16,idle,0.6070588529109955
134516,1,10879,10943,435.16,437.72,swing_bucket,0.7596968412399292
134516,1,10943,11071,437.72,442.84,dump,0.6630504280328751
134516,1,11071,11103,442.84,444.12,swing_bucket,0.9332133531570435
134516,1,11103,11135,444.12,445.4,idle,0.8988301157951355
134516,1,11135,11327,445.4,453.08,load_bucket,0.6611810972293218
134516,1,11327,11359,453.08,454.36,idle,0.5536613464355469
134516,1,11359,11455,454.36,458.2,swing_bucket,0.6574468612670898
134516,1,11455,11583,458.2,463.32,dump,0.7121030539274216
134516,1,11583,11615,463.32,464.6,swing_bucket,0.7538953423500061
134516,1,11615,11871,464.6,474.84,load_bucket,0.6303551197052002
134516,1,11871,11903,474.84,476.12,idle,0.4909246265888214
134516,1,11903,11999,476.12,479.96,load_bucket,0.6880507270495096
134516,1,11999,12095,479.96,483.8,swing_bucket,0.6370877822240194
134516,1,12095,12223,483.8,488.92,dump,0.6038123071193695
134516,1,12223,12671,488.92,506.84,swing_bucket,0.5242207667657306
134516,1,12671,12959,506.84,518.36,idle,0.39447535077730816
134516,1,12959,13599,518.36,543.96,swing_bucket,0.38290989845991136
134516,1,13599,14559,543.96,582.36,idle,0.8168656776348749
134516,1,14559,14591,582.36,583.64,move,0.39315420389175415
134516,1,14591,14687,583.64,587.48,swing_bucket,0.6936283111572266
134516,1,14687,14783,587.48,591.32,dump,0.7995649774869283
134516,1,14783,14815,591.32,592.6,swing_bucket,0.7699481844902039
134516,1,14815,15199,592.6,607.96,idle,0.8088126679261526
134516,1,15199,15263,607.96,610.52,move,0.489206925034523
134516,1,15263,15327,610.52,613.08,swing_bucket,0.880561888217926
134516,1,15327,15423,613.08,616.92,dump,0.5479317307472229
134516,1,15423,15455,616.92,618.2,swing_bucket,0.836014986038208
134516,1,15455,15487,618.2,619.48,load_bucket,0.48804816603660583
134516,1,15487,15864,619.48,634.56,idle,0.8928134343352179
